Model	Combination	majority_er	minority_er	er	crl-2	er_ea	pearson	cosine	ea_er	cr-2	ea	majority_ea	minority_ea	ca-2	majority_ea_er	minority_ea_er
Super-ensemble	averaging	90.28708642	89.27520235	90.25589226	99.28619529	81.42241983	0.969834074	0.971218712	73.48148148	81.09427609	76.50505051	78.46594982	46.11111111	86.69360269	73.24255543	80.99281146
Super-ensemble	weighted_averaging	90.25928836	89.27520235	90.22895623	99.27946128	81.46895559	0.969850996	0.971234865	73.5016835	81.14478114	76.52525253	78.48028674	46.22222222	86.68686869	73.26340035	80.99281146
n20	majority_voting	76.80525668	71.51841869	76.64646465	-1	85.72762768	0.764105703	0.766464646	65.7037037	-1	72.5993266	74.63799283	41	-1	65.70889516	65.64091045
n20	weighted_voting	76.68016317	70.62443541	76.49158249	-1	85.76021453	0.762541237	0.764915825	65.5959596	-1	72.55892256	74.55913978	41.55555556	-1	65.62934663	64.68495935
n20	averaging	77.2002908	69.1008842	76.94276094	93.92592593	85.96889379	0.860484184	0.864912711	66.14141414	67.97643098	72.96296296	74.96057348	42	83.45454545	66.24278807	63.14051348
n20	weighted_averaging	77.23842992	68.96181896	76.97643098	93.87878788	85.92279659	0.859997721	0.86442744	66.13468013	67.91582492	72.95622896	74.96057348	41.88888889	83.46801347	66.24066556	62.97726298
dropout	majority_voting	67.52416397	52.44624186	67.08417508	87.71717172	86.04632984	0.75851774	0.765308979	57.72390572	59.04040404	67.47474747	69.58422939	34.77777778	78.96296296	58.05611618	46.68902479
dropout	weighted_voting	67.52416397	52.44624186	67.08417508	87.71717172	86.04632984	0.75851774	0.765308979	57.72390572	59.04040404	67.47474747	69.58422939	34.77777778	78.96296296	58.05611618	46.68902479
dropout	averaging	67.52416397	52.44624186	67.08417508	87.71717172	86.04632984	0.75851774	0.765308979	57.72390572	59.04040404	67.47474747	69.58422939	34.77777778	78.96296296	58.05611618	46.68902479
dropout	weighted_averaging	67.52416397	52.44624186	67.08417508	87.71717172	86.04632984	0.75851774	0.765308979	57.72390572	59.04040404	67.47474747	69.58422939	34.77777778	78.96296296	58.05611618	46.68902479
dynens-cyc	majority_voting	85.05458362	84.56002331	85.03703704	-1	83.36340622	0.84885896	0.85037037	70.88888889	-1	75.4006734	77.390681	44.55555556	-1	70.67630582	77.83945221
dynens-cyc	weighted_voting	85.14980549	85.27777778	85.15151515	-1	83.37967527	0.850015305	0.851515152	70.996633	-1	75.45454545	77.4265233	44.88888889	-1	70.76250083	78.58796296
dynens-cyc	averaging	85.78340988	83.86511245	85.72390572	97.91919192	83.26043992	0.938969066	0.941525649	71.37373737	75.37373737	75.64309764	77.62007168	45	85.60942761	71.20370562	76.83570152
dynens-cyc	weighted_averaging	85.74177791	84.30046229	85.6969697	97.92592593	83.27115088	0.938899427	0.941458243	71.36026936	75.37710438	75.64309764	77.61290323	45.11111111	85.5959596	71.17592924	77.27105136
dynens-step	majority_voting	78.40646417	73.59020311	78.26262626	-1	85.43791339	0.780430568	0.782626263	66.86195286	-1	73.13804714	75.14695341	42	-1	66.80809717	68.66188769
dynens-step	weighted_voting	78.49669289	74.94623656	78.39057239	-1	85.43457737	0.781722953	0.783905724	66.96969697	-1	73.1986532	75.1827957	42.44444444	-1	66.88447024	69.78643967
dynens-step	averaging	81.30351458	78.65278929	81.22558923	96.62626263	84.3475712	0.904852033	0.908417286	68.51178451	71.42087542	74.12121212	76.15770609	42.55555556	84.94276094	68.3924787	72.5092874
dynens-step	weighted_averaging	81.24105639	78.65278929	81.16498316	96.63299663	84.40220144	0.904873007	0.908437761	68.50505051	71.4006734	74.11447811	76.15053763	42.55555556	84.94276094	68.38550968	72.5092874
