Model	Combination	majority_er	minority_er	er	crl-2	er_ea	pearson	cosine	ea_er	cr-2	ea	majority_ea	minority_ea	ca-2
n4	weighted_averaging	83.68388497	83.18602694	83.67003367	97.19191919	83.84785925	0.922254654	0.925314382	70.15488215	73.22558923	75.05050505	77.03942652	44.22222222	85.003367
n5	majority_voting	82.45947636	81.51882975	82.43097643	-1	83.87306254	0.822535115	0.824309764	69.13804714	-1	74.4040404	76.44444444	42.77777778	-1
n5	weighted_voting	82.57808042	80.82264957	82.52525253	-1	83.90141235	0.823487399	0.825252525	69.23905724	-1	74.47138047	76.47311828	43.44444444	-1
n5	averaging	83.41527205	82.65729704	83.39393939	97.0976431	83.77900041	0.92164635	0.924731999	69.86531987	73.32323232	74.87542088	76.85304659	44.22222222	84.93602694
n5	weighted_averaging	83.40833339	82.65729704	83.38720539	97.11784512	83.80217585	0.921619236	0.924705653	69.87878788	73.31986532	74.8956229	76.87455197	44.22222222	84.95622896
n6	majority_voting	82.42655599	82.23708658	82.41750842	-1	83.47639208	0.822399075	0.824175084	68.8013468	-1	74.06060606	76.11469534	42.22222222	-1
n6	weighted_voting	82.38266284	81.62775755	82.35690236	-1	83.58879339	0.821786892	0.823569024	68.84175084	-1	74.12794613	76.1218638	43.22222222	-1
n6	averaging	83.60565555	82.62528178	83.57575758	97.23905724	83.36123825	0.921415674	0.924534206	69.67003367	73.7003367	74.58585859	76.55913978	44	84.78114478
n6	weighted_averaging	83.51538344	82.62528178	83.48821549	97.23232323	83.40819002	0.92132127	0.924441945	69.63636364	73.6969697	74.57912458	76.55197133	44	84.79461279
n7	majority_voting	82.42251307	81.56400966	82.39057239	-1	83.39917317	0.822126994	0.823905724	68.71380471	-1	74	76.03584229	42.44444444	-1
n7	weighted_voting	82.37037959	81.50671652	82.33670034	-1	83.61758988	0.821582832	0.823367003	68.84848485	-1	74.12794613	76.10752688	43.44444444	-1
n7	averaging	83.39612164	82.67712013	83.37373737	97.17845118	83.18393879	0.921232269	0.924359517	69.35353535	73.53535354	74.39057239	76.37275986	43.66666667	84.72053872
n7	weighted_averaging	83.42400808	83.11507424	83.41414141	97.17171717	83.1926032	0.921126196	0.924255663	69.39393939	73.55218855	74.42424242	76.40143369	43.77777778	84.73400673
n8	majority_voting	82.42251307	81.56400966	82.39057239	-1	83.39917317	0.822126994	0.823905724	68.71380471	-1	74	76.03584229	42.44444444	-1
n8	weighted_voting	82.37037959	81.50671652	82.33670034	-1	83.61758988	0.821582832	0.823367003	68.84848485	-1	74.12794613	76.10752688	43.44444444	-1
n8	averaging	83.39612164	82.67712013	83.37373737	97.17845118	83.18393879	0.921232269	0.924359517	69.35353535	73.53535354	74.39057239	76.37275986	43.66666667	84.72053872
n8	weighted_averaging	83.42400808	83.11507424	83.41414141	97.17171717	83.1926032	0.921126196	0.924255663	69.39393939	73.55218855	74.42424242	76.40143369	43.77777778	84.73400673
n9	majority_voting	82.42251307	81.56400966	82.39057239	-1	83.39917317	0.822126994	0.823905724	68.71380471	-1	74	76.03584229	42.44444444	-1
n9	weighted_voting	82.37037959	81.50671652	82.33670034	-1	83.61758988	0.821582832	0.823367003	68.84848485	-1	74.12794613	76.10752688	43.44444444	-1
n9	averaging	83.39612164	82.67712013	83.37373737	97.17845118	83.18393879	0.921232269	0.924359517	69.35353535	73.53535354	74.39057239	76.37275986	43.66666667	84.72053872
n9	weighted_averaging	83.42400808	83.11507424	83.41414141	97.17171717	83.1926032	0.921126196	0.924255663	69.39393939	73.55218855	74.42424242	76.40143369	43.77777778	84.73400673
n10	majority_voting	82.10671026	81.62443145	82.08754209	-1	82.90634048	0.819066082	0.820875421	68.05387205	-1	73.48148148	75.56989247	41.11111111	-1
n10	weighted_voting	82.03342058	79.55378251	81.95286195	-1	83.30558907	0.817705676	0.81952862	68.26936027	-1	73.67003367	75.69175627	42.33333333	-1
n10	averaging	82.85137508	81.22294372	82.8013468	96.9023569	83.06540248	0.918247162	0.92156058	68.77441077	73.73063973	74.05387205	76.07168459	42.77777778	84.32323232
n10	weighted_averaging	82.80279574	81.22294372	82.75420875	96.82828283	83.15370718	0.917775897	0.921097666	68.80808081	73.66666667	74.08080808	76.09318996	42.88888889	84.3030303
